//コマンド,x,y,z,direction
WAIT,120,,,
POP,0,0,100,0
WAIT,120,,,
POP,-100,0,0,-2
WAIT,120,,,
POP,0,0,-100,1
WAIT,120,,,
POP,100,0,0,2
WAIT,10,,,
POP,-75,0,75,-4
WAIT,10,,,
POP,75,0,75,4
WAIT,10,,,
POP,75,0,-75,1.5
WAIT,10,,,
POP,-75,0,-75,-1.5
WAIT,300,,,
POP,0,0,100,0
WAIT,80,,,
POP,-100,0,0,-2
WAIT,200,,,
POP,0,0,-50,1
WAIT,120,,,
POP,50,0,0,2
WAIT,40,,,
POP,-75,0,-75,-1.5
WAIT,120,,,
POP,75,0,-75,1.5
WAIT,100,,,
POP,75,0,-75,1.5
WAIT,100,,,
POP,75,0,-75,1.5
WAIT,10,,,
POP,-75,0,-75,-1.5
WAIT,300,,,
POP,75,0,75,4
WAIT,120,,,
POP,-100,0,0,-2
FINISH,,,,
